■1106更新■,#genre#
Ⅰ,https://vod04-cdn.fptplay.net/ovod/_definst_/smil:mp4/encoded/20200813/crouchingtigerhiddendragon-2000-china-1080p/8ffadcc9b940825da2c3abddecf2bc12.smil/chunklist_b4628000.m3u8
Ⅱ,https://vod07-cdn.fptplay.net/ovod/_definst_/smil:mp4/encoded/20200317/the_con_artists_fptplay_1080p_sub_logofptplay/0e21f15ac8f9e1f54e064386fee6f324.smil/chunklist_b3992000.m3u8
Ⅲ,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_uCa4gUo7Irtnwc.mp4
Ⅳ,http://txtest-xp2p.p2p.huya.com/src/1099531728616-1099531728616-86332450422128640-2199063580688-10057-A-0-1.xs?wsSecret=b12104bdc77d4d5547922b9997b4ebcd&wsTime=6246cbc5&u=0&seqid=16487204510690000&ctype=tars_mobile&fs=bgct&t=103
Ⅴ,https://vod01-cdn.fptplay.net/encoded/20200628/act_of_valor_1080p_logofptplay_v3/1080p/index.m3u8
Ⅵ,http://vod-zlr2.tv360.vn/video1/2021/12/16/11/e87eebf0/e87eebf0-2f3b-46af-8041-4295730f82fe_5_.m3u8
Ⅶ,http://vod-zlr2.tv360.vn/video1/2021/11/29/14/ca5b11c0/ca5b11c0-46c1-4766-b878-677ed07a97ba_5_.m3u8
Ⅷ,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240237453313.mp4




央视频道,#genre#
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.115.221:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225751/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225752/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225753/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225754/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225755/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225756/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.134.115.221:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.134.115.221:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.134.115.221:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV13,http://39.134.115.221:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.115.221:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://39.134.115.221:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV15,http://39.134.115.221:8080/PLTV/88888910/224/3221225641/index.m3u8
CETV,http://39.134.115.221:8080/PLTV/88888910/224/3221225661/index.m3u8
CGTN,http://39.134.115.221:8080/PLTV/88888910/224/3221225747/index.m3u8
CGTN记录,http://39.134.115.221:8080/PLTV/88888910/224/3221225645/index.m3u8
CNC,http://39.134.115.221:8080/PLTV/88888910/224/3221225693/index.m3u8
CNC2,http://39.134.115.221:8080/PLTV/88888910/224/3221225694/index.m3u8
CCTV1,http://219.142.151.179:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://219.142.151.179:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://219.142.151.179:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://219.142.151.179:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://219.142.151.179:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://219.142.151.179:9901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=1&authid=0

CCTV6,http://219.142.151.179:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://219.142.151.179:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://219.142.151.179:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://219.142.151.179:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://219.142.151.179:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://219.142.151.179:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://219.142.151.179:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://219.142.151.179:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://219.142.151.179:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://219.142.151.179:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://219.142.151.179:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://219.142.151.179:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://125.40.191.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://125.40.191.58:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://125.40.191.58:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://125.40.191.58:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://125.40.191.58:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://125.40.191.58:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://125.40.191.58:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://125.40.191.58:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://125.40.191.58:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://125.40.191.58:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://125.40.191.58:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://125.40.191.58:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://125.40.191.58:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://125.40.191.58:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://125.40.191.58:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
大陆省市,#genre#
东方卫视,http://112.19.214.90:8883/tsfile/live/0107_1.m3u8
贵州卫视,http://112.19.214.90:8883/tsfile/live/0120_1.m3u8
北京卫视,http://112.19.214.90:8883/tsfile/live/0122_1.m3u8
四川卫视,http://112.19.214.90:8883/tsfile/live/0123_1.m3u8
广东卫视,http://112.19.214.90:8883/tsfile/live/0125_1.m3u8
浙江卫视,http://112.19.214.90:8883/tsfile/live/0124_1.m3u8
深圳卫视,http://112.19.214.90:8883/tsfile/live/0126_1.m3u8
江苏卫视,http://112.19.214.90:8883/tsfile/live/0127_1.m3u8
湖南卫视,http://112.19.214.90:8883/tsfile/live/0128_1.m3u8
山东卫视,http://112.19.214.90:8883/tsfile/live/0131_1.m3u8
湖北卫视,http://112.19.214.90:8883/tsfile/live/0132_1.m3u8
安徽卫视,http://112.19.214.90:8883/tsfile/live/0130_1.m3u8
天津卫视,http://112.19.214.90:8883/tsfile/live/0135_1.m3u8
青海卫视,http://112.19.214.90:8883/tsfile/live/0140_1.m3u8
重庆卫视,http://112.19.214.90:8883/tsfile/live/0142_1.m3u8
海南卫视,http://112.19.214.90:8883/tsfile/live/1000_1.m3u8
新疆卫视,http://112.19.214.90:8883/tsfile/live/0110_1.m3u8
云南卫视,http://112.19.214.90:8883/tsfile/live/0119_1.m3u8
西藏卫视,http://112.19.214.90:8883/tsfile/live/0111_1.m3u8
黑龙江卫视,http://112.19.214.90:8883/tsfile/live/0143_1.m3u8
康巴卫视,http://112.19.214.90:8883/tsfile/live/1010_1.m3u8
东南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225657/index.m3u8
东南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225585/index.m3u8?fmt=ts2hls
东方卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8
东方卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225489/index.m3u8?fmt=ts2hls
东方卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225659/index.m3u8
北京卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8
北京卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225600/index.m3u8?fmt=ts2hls
北京卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8
四川卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225487/index.m3u8?fmt=ts2hls
天津卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225739/index.m3u8
天津卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225485/index.m3u8?fmt=ts2hls
天津卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225698/index.m3u8
安徽卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225737/index.m3u8
安徽卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225691/index.m3u8
山东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8
山东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225484/index.m3u8?fmt=ts2hls
山东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8
广东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225742/index.m3u8
广东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225597/index.m3u8?fmt=ts2hls
广东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225701/index.m3u8
广西卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls
江苏卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225743/index.m3u8
江苏卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225488/index.m3u8?fmt=ts2hls
江苏卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225702/index.m3u8
江西卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225705/index.m3u8
江西卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225746/index.m3u8
江西卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225492/index.m3u8?fmt=ts2hls
河北卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls
河南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225611/index.m3u8?fmt=ts2hls
浙江卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225744/index.m3u8
浙江卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225491/index.m3u8?fmt=ts2hls
浙江卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8
海南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls
深圳卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225741/index.m3u8
深圳卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225598/index.m3u8?fmt=ts2hls
深圳卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225700/index.m3u8
湖北卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225740/index.m3u8
湖北卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225596/index.m3u8?fmt=ts2hls
湖北卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225699/index.m3u8
湖南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225745/index.m3u8
湖南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225490/index.m3u8?fmt=ts2hls
湖南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225704/index.m3u8
贵州卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225483/index.m3u8?fmt=ts2hls
辽宁卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225735/index.m3u8
辽宁卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225601/index.m3u8?fmt=ts2hls
辽宁卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8
重庆卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225734/index.m3u8
