1106更新,#genre#
22.11.05,https://vd3.bdstatic.com/mda-ngnctmcv7hnhrrk3/720p/h264/1658567028822970738/mda-ngnctmcv7hnhrrk3.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666291678-0-0-f8335517a6f5fb4166d97b8bb14b2845&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1078283456&vid=7826272914458242144&abtest=104959_2&klogid=1078283456
：->,https://vd3.bdstatic.com/mda-nh2fpdasd88ivkx9/720p/h264/1659524693733916043/mda22.10.-nh2fpdasd88ivkx9.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666103493-0-0-1e5a73c7c957d5f6d4509292255029e8&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=0093283131&vid=15535975653560617797&abtest=104959_2&klogid=0093283131
整理测试——,https://vd3.bdstatic.com/mda-njck5m3594wms3fe/sc/cae_h264/1665671850032172240/mda-njck5m3594wms3fe.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666154906-0-0-c8979145aa14072d398dae305e63a989&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1106311403&vid=10402863967158131047&abtest=104959_2&klogid=11063114037bda4d9bb2af7b5b&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1519724494&vid=7021412030334749336&abtest=104959_2&klogid=1519724494
公众号：,https://vd3.bdstatic.com/mda-njck1ef61fmczpbi/sc/cae_h264/1665672998409875910/mda-njck1ef61fmczpbi.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666154905-0-0-1bb11ba337b42cbeaed6cfca5cdbd026&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1105518694&vid=14529797370757380427&abtest=104959_2&klogid=1105518694
【放学回家看电视】,https://vd3.bdstatic.com/mda-njck1kfq8iu1ybmi/720p/h264/1665670181844690314/mda-njck1kfq8iu1ybmi.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666154902-0-0-24866f6a3d1863970d791cf211afc34c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1102000100&vid=13629545925756793167&abtest=104959_2&klogid=1102000100
个人JDK学习测试之用，https://vd3.bdstatic.com/mda-njafs8kcysyjim6z/sc/cae_h264/1665487465154943473/mda-njafs8kcysyjim6z.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666154985-0-0-a61b0e797d567de3e260e63cf884792c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1185853694&vid=9452014905790260261&abtest=104959_2&klogid=1185853694
请勿作商业之用,https://vd4.bdstatic.com/mda-njafsfemsbq41di1/sc/cae_h264/1665487907252330790/mda-njafsfemsbq41di1.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666154984-0-0-9b63a505c3da927c3e45991706cf1fb4&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1184892305&vid=5771210687945782782&abtest=104959_2&klogid=1184892305
世界第一等,https://vd2.bdstatic.com/mda-ni5xmh6my8qfq24g/sc/cae_h264/1662555156171215517/mda-ni5xmh6my8qfq24g.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101647-0-0-531b0b56f8018c347c84990f3df9004c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1847163352&vid=4825658235509808203&abtest=104959_2&klogid=1847163352
孤单的人,https://vd3.bdstatic.com/mda-ni3yvddqcsq8qzaz/sc/cae_h264/1662392082429657262/mda-ni3yvddqcsq8qzaz.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101652-0-0-68b5073a855804a4400773fd019feb82&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1852649630&vid=10899964401569394777&abtest=104959_2&klogid=1852649630
神曲《Bingo》,https://vd3.bdstatic.com/mda-nh42aq13xkcpamq5/sc/cae_h264/1659663800687790546/mda-nh42aq13xkcpamq5.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101842-0-0-73a5e6474bfad14fce291178a288f859&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2042659063&vid=5453939662318273091&abtest=104959_2&klogid=2042659063
